east_wind,north_wind,inclination,forest_density,bear_deaths,deer_deaths,bear_outliers,bears_alive,deers_alive,deer_outliers,fires_started,percent-burned,ticks,seed
25,25,10,100,0,0,0,40,120,0,1,100,2053,1
-25,25,10,100,0,0,0,40,120,0,1,100,2004,1
25,-25,10,100,0,0,0,40,120,0,1,100,2160,1
-25,-25,10,100,0,0,0,40,120,0,1,100,2055,1
0,0,10,100,0,0,0,40,120,0,1,100,2038,1
25,25,10,100,0,1,0,40,119,1,3,100,2034,1
-25,25,10,100,0,1,0,40,119,1,3,100,1960,1
25,-25,10,100,0,1,0,40,119,1,3,100,2120,1
-25,-25,10,100,0,0,0,40,120,0,3,100,2126,1
0,0,10,100,0,0,0,40,120,0,3,100,2034,1
0,0,10,100,11,31,0,29,89,0,5,100,1651,1
25,25,10,100,11,34,0,29,86,0,5,100,1728,1
-25,25,10,100,11,34,0,29,86,0,5,100,1666,1
25,-25,10,100,11,29,0,29,91,0,5,100,1749,1
-25,-25,10,100,11,34,0,29,86,0,5,100,1705,1
25,25,10,100,0,0,0,40,120,0,1,100,2551,2
-25,25,10,100,0,0,0,40,120,0,1,100,2501,2
25,-25,10,100,0,0,0,40,120,0,1,100,2491,2
-25,-25,10,100,0,0,0,40,120,0,1,100,2486,2
0,0,10,100,0,0,0,40,120,0,1,100,2490,2
25,25,10,100,0,0,0,40,120,0,3,100,2314,2
-25,25,10,100,0,0,0,40,120,0,3,100,2185,2
25,-25,10,100,0,0,0,40,120,0,3,100,2358,2
-25,-25,10,100,0,0,0,40,120,0,3,100,2314,2
0,0,10,100,0,0,0,40,120,0,3,100,2297,2
25,25,10,100,5,22,0,35,98,0,5,100,1672,2
-25,25,10,100,5,22,0,35,98,0,5,100,1521,2
25,-25,10,100,5,22,0,35,98,0,5,100,1714,2
-25,-25,10,100,5,22,0,35,98,0,5,100,1677,2
0,0,10,100,5,22,0,35,98,0,5,100,1653,2
25,25,10,100,0,0,0,40,120,0,1,100,2053,3
-25,25,10,100,0,0,0,40,120,0,1,100,2581,3
25,-25,10,100,0,0,0,40,120,0,1,99.58358120166568,2554,3
-25,-25,10,100,0,0,0,40,120,0,1,99.58358120166568,2623,3
0,0,10,100,0,0,0,40,120,0,1,99.58358120166568,2544,3
25,25,10,100,0,0,0,40,120,0,3,99.58358120166568,1733,3
-25,25,10,100,10,0,0,30,120,0,3,100,1796,3
25,-25,10,100,0,0,0,40,120,0,3,99.58358120166568,1820,3
-25,-25,10,100,0,0,0,40,120,0,3,99.58358120166568,1857,3
0,0,10,100,0,0,0,40,120,0,3,99.58358120166568,1791,3
25,25,10,100,0,0,0,40,120,0,5,99.58358120166568,1622,3
-25,25,10,100,6,1,0,34,119,0,5,100,1686,3
25,-25,10,100,0,0,0,40,120,0,5,99.58358120166568,1622,3
-25,-25,10,100,0,0,0,40,120,0,5,99.58358120166568,1688,3
0,0,10,100,0,0,0,40,120,0,5,99.58358120166568,1621,3
25,25,10,100,0,0,0,40,120,0,1,100,2155,4
-25,25,10,100,0,0,0,40,120,0,1,100,2064,4
25,-25,10,100,0,0,0,40,120,0,1,100,2208,4
-25,-25,10,100,0,0,0,40,120,0,1,100,2144,4
0,0,10,100,0,0,0,40,120,0,1,100,2136,4
25,25,10,100,0,0,0,40,120,0,3,100,1918,4
-25,25,10,100,0,0,0,40,120,0,3,100,1880,4
25,-25,10,100,0,0,0,40,120,0,3,100,1986,4
-25,-25,10,100,0,0,0,40,120,0,3,100,1911,4
0,0,10,100,0,0,0,40,120,0,3,100,1890,4
25,25,10,100,0,2,0,40,118,2,5,100,1923,4
-25,25,10,100,0,2,0,40,118,2,5,100,1883,4
25,-25,10,100,0,2,0,40,118,2,5,100,1934,4
-25,-25,10,100,0,2,0,40,118,2,5,100,1901,4
0,0,10,100,0,2,0,40,118,2,5,100,1893,4
25,25,10,100,0,1,0,40,119,0,6,100,1776,6
25,25,10,100,11,31,0,29,89,0,7,100,1637,7
25,25,10,100,5,0,0,35,120,0,6,100,1894,8
25,25,10,100,0,0,0,40,120,0,6,100,1586,10
25,25,10,100,1,0,0,39,120,0,7,100,1767,12
25,25,10,100,9,1,0,31,119,0,5,100,1700,14
25,25,10,100,16,32,0,24,88,0,6,100,1702,16
25,25,10,100,16,32,0,24,88,0,6,100,1702,21
25,25,10,100,14,35,0,26,85,0,5,100,1643,21
25,25,10,100,0,0,0,40,120,0,3,100,2208,21
25,25,10,100,0,0,0,40,120,0,3,99.76204640095182,1758,24
25,25,10,100,0,0,0,40,120,0,3,100,2021,27
25,25,10,100,0,0,0,40,120,0,4,100,1895,31
25,25,10,100,6,1,0,34,119,0,7,100,1425,35
25,25,10,100,9,19,0,31,101,0,6,100,1720,40
25,25,10,100,0,0,0,40,120,0,6,100,2048,42
25,25,10,100,0,0,0,40,120,0,3,100,1943,40
